"question_idx","sentence_idx","layer_idx","early_decoder","probe_output","probe_ans"
"1","0","0","probe_model_answer_correct","[0.6974018416729849, 0.3025981583270151]","0"
"1","0","1","probe_model_answer_correct","[0.43015247970871817, 0.5698475202912817]","1"
"1","0","2","probe_model_answer_correct","[0.50655882838186, 0.49344117161813994]","0"
"1","0","3","probe_model_answer_correct","[0.5388210830611337, 0.46117891693886626]","0"
"1","0","4","probe_model_answer_correct","[0.6522121985536192, 0.34778780144638066]","0"
"1","0","5","probe_model_answer_correct","[0.5291926446464975, 0.4708073553535024]","0"
"1","0","6","probe_model_answer_correct","[0.4648015684004862, 0.5351984315995139]","1"
"1","0","7","probe_model_answer_correct","[0.5414850465203044, 0.4585149534796957]","0"
"1","0","8","probe_model_answer_correct","[0.6559268284490791, 0.34407317155092093]","0"
"1","0","9","probe_model_answer_correct","[0.64538377337923, 0.35461622662076997]","0"
"1","0","10","probe_model_answer_correct","[0.2261662854029035, 0.7738337145970964]","1"
"1","0","11","probe_model_answer_correct","[0.47400375459942556, 0.5259962454005745]","1"
"1","0","12","probe_model_answer_correct","[0.3897825631578043, 0.6102174368421956]","1"
"1","0","13","probe_model_answer_correct","[0.5449131032306076, 0.45508689676939235]","0"
"1","0","14","probe_model_answer_correct","[0.5360929380717881, 0.4639070619282118]","0"
"1","0","15","probe_model_answer_correct","[0.5800508728715758, 0.41994912712842414]","0"
"1","0","16","probe_model_answer_correct","[0.46368558807647126, 0.5363144119235287]","1"
"1","0","17","probe_model_answer_correct","[0.401161419397475, 0.598838580602525]","1"
"1","0","18","probe_model_answer_correct","[0.46797082080026103, 0.532029179199739]","1"
"1","0","19","probe_model_answer_correct","[0.5979811978390143, 0.40201880216098584]","0"
"1","0","20","probe_model_answer_correct","[0.485164588019728, 0.514835411980272]","1"
"1","0","21","probe_model_answer_correct","[0.3293397874737696, 0.6706602125262305]","1"
"1","0","22","probe_model_answer_correct","[0.4760733979298972, 0.5239266020701029]","1"
"1","0","23","probe_model_answer_correct","[0.372182964560565, 0.627817035439435]","1"
"1","0","24","probe_model_answer_correct","[0.5012780261546109, 0.4987219738453888]","0"
"1","0","25","probe_model_answer_correct","[0.4673875870935739, 0.5326124129064261]","1"
"1","0","26","probe_model_answer_correct","[0.6596484235265262, 0.34035157647347364]","0"
"1","0","27","probe_model_answer_correct","[0.3652836975593888, 0.6347163024406112]","1"
"1","1","0","probe_model_answer_correct","[0.6102707396165706, 0.3897292603834293]","0"
"1","1","1","probe_model_answer_correct","[0.49436513294252826, 0.5056348670574717]","1"
"1","1","2","probe_model_answer_correct","[0.539268782267554, 0.4607312177324461]","0"
"1","1","3","probe_model_answer_correct","[0.45625973108494056, 0.5437402689150594]","1"
"1","1","4","probe_model_answer_correct","[0.4341350972842008, 0.565864902715799]","1"
"1","1","5","probe_model_answer_correct","[0.5194466414252948, 0.4805533585747052]","0"
