"question_idx","token","token_text","early_decoder","probe_output"
"0","0","","probe_model_answer_correct","[0.20167679724985438, 0.7983232027501456]"
"0","33001","Okay","probe_model_answer_correct","[0.6080421580658929, 0.3919578419341071]"
"0","14",",","probe_model_answer_correct","[0.8223661561609993, 0.17763384383900074]"
"0","832"," so","probe_model_answer_correct","[0.05712009362982745, 0.9428799063701725]"
"0","342"," I","probe_model_answer_correct","[0.247728446049905, 0.7522715539500949]"
"0","5270","'ve","probe_model_answer_correct","[0.54508391241373, 0.45491608758627017]"
"0","3557"," got","probe_model_answer_correct","[0.6318666393343583, 0.3681333606656416]"
"0","566"," this","probe_model_answer_correct","[0.26777187085125914, 0.7322281291487408]"
"0","3417"," question","probe_model_answer_correct","[0.7251986234068262, 0.27480137659317394]"
"0","2155"," here","probe_model_answer_correct","[0.4343407963221963, 0.5656592036778036]"
"0","943"," about","probe_model_answer_correct","[0.6997829647965249, 0.30021703520347504]"
"0","260"," a","probe_model_answer_correct","[0.06797476871573897, 0.932025231284261]"
"0","13957"," disorder","probe_model_answer_correct","[0.9408780223038895, 0.059121977696110425]"
"0","14747"," characterized","probe_model_answer_correct","[0.986327791419354, 0.013672208580646043]"
"0","513"," by","probe_model_answer_correct","[0.6221333807889164, 0.37786661921108344]"
"0","104671"," uncontroll","probe_model_answer_correct","[0.24116103337576855, 0.7588389666242314]"
"0","679","able","probe_model_answer_correct","[0.8125578212563107, 0.18744217874368932]"
"0","29193"," episodes","probe_model_answer_correct","[0.1442016305899856, 0.8557983694100144]"
"0","294"," of","probe_model_answer_correct","[0.28904260423591926, 0.7109573957640809]"
"0","17377"," falling","probe_model_answer_correct","[0.9651519795133358, 0.0348480204866643]"
"0","32655"," asleep","probe_model_answer_correct","[0.4080999166289427, 0.5919000833710573]"
"0","2184"," during","probe_model_answer_correct","[0.9507675343482191, 0.04923246565178071]"
"0","270"," the","probe_model_answer_correct","[0.5842684511457935, 0.41573154885420655]"
"0","2173"," day","probe_model_answer_correct","[0.5918054335917081, 0.408194566408292]"
"0","16",".","probe_model_answer_correct","[0.45234099394926425, 0.5476590060507357]"
"0","455"," The","probe_model_answer_correct","[0.510447031602699, 0.489552968397301]"
"0","6536"," options","probe_model_answer_correct","[0.5909445563561213, 0.4090554436438788]"
"0","477"," are","probe_model_answer_correct","[0.8597774015299192, 0.14022259847008084]"
"0","56893"," Dys","probe_model_answer_correct","[0.7048888795912808, 0.2951111204087192]"
"0","77791","lexia","probe_model_answer_correct","[0.704341075765613, 0.29565892423438683]"
"0","14",",","probe_model_answer_correct","[0.24451857147019257, 0.7554814285298074]"
"0","104610"," Epile","probe_model_answer_correct","[0.9868719996076958, 0.013128000392304107]"
"0","32987","psy","probe_model_answer_correct","[0.2061296742327891, 0.7938703257672108]"
"0","14",",","probe_model_answer_correct","[0.38930706524265984, 0.6106929347573402]"
"0","25640"," Hydro","probe_model_answer_correct","[0.3257679387915563, 0.6742320612084438]"
"0","104159","cephalus","probe_model_answer_correct","[0.9445374050527108, 0.055462594947289175]"
"0","14",",","probe_model_answer_correct","[0.1513860102624596, 0.8486139897375404]"
"0","305"," and","probe_model_answer_correct","[0.47352784017213945, 0.5264721598278607]"
"0","32094"," Nar","probe_model_answer_correct","[0.09106247405167733, 0.9089375259483227]"
"0","33933","cole","probe_model_answer_correct","[0.30619046119561893, 0.6938095388043811]"
"0","32987","psy","probe_model_answer_correct","[0.47737386254921776, 0.5226261374507823]"
"0","16",".","probe_model_answer_correct","[0.3708997622675727, 0.6291002377324273]"
"0","437"," H","probe_model_answer_correct","[0.6333864085505162, 0.3666135914494839]"
"0","6002","mm","probe_model_answer_correct","[0.614581779058779, 0.38541822094122097]"
"0","14",",","probe_model_answer_correct","[0.7272557800024765, 0.27274421999752335]"
"0","2513"," let","probe_model_answer_correct","[0.5773827435231602, 0.42261725647683984]"
"0","678"," me","probe_model_answer_correct","[0.692023442652255, 0.30797655734774504]"
"0","2118"," think","probe_model_answer_correct","[0.7088961343003496, 0.2911038656996504]"
"0","1407"," through","probe_model_answer_correct","[0.41135512732656, 0.58864487267344]"
"0","1660"," each","probe_model_answer_correct","[0.16919447201189736, 0.8308055279881027]"
"0","834"," one","probe_model_answer_correct","[0.9414314285895826, 0.05856857141041742]"
"0","339",".\n\n","probe_model_answer_correct","[0.3604248663719808, 0.6395751336280192]"
"0","10318","First","probe_model_answer_correct","[0.4935706951503382, 0.506429304849662]"
"0","14",",","probe_model_answer_correct","[0.5839750842079019, 0.41602491579209827]"
"0","342"," I","probe_model_answer_correct","[0.8100502422514354, 0.18994975774856468]"
"0","5922","'ll","probe_model_answer_correct","[0.19296288299606687, 0.8070371170039331]"
"0","1904"," start","probe_model_answer_correct","[0.7403480922509252, 0.2596519077490748]"
"0","513"," by","probe_model_answer_correct","[0.00698479151656094, 0.9930152084834392]"
"0","96703"," recalling","probe_model_answer_correct","[0.7221009752837588, 0.27789902471624117]"
"0","1205"," what","probe_model_answer_correct","[0.09526041571839285, 0.9047395842816073]"
"0","1660"," each","probe_model_answer_correct","[0.055116049516116275, 0.9448839504838837]"
"0","294"," of","probe_model_answer_correct","[0.5740186793242888, 0.42598132067571104]"
"0","1305"," these","probe_model_answer_correct","[0.5885522457943329, 0.4114477542056672]"
"0","14269"," disorders","probe_model_answer_correct","[0.5773693829438613, 0.42263061705613864]"
"0","8600"," typically","probe_model_answer_correct","[0.8985159549528058, 0.10148404504719433]"
"0","10045"," involves","probe_model_answer_correct","[0.45135661963849094, 0.5486433803615092]"
"0","16",".","probe_model_answer_correct","[0.06639110397936203, 0.9336088960206381]"
"0","56893"," Dys","probe_model_answer_correct","[0.944684650183302, 0.055315349816697966]"
"0","77791","lexia","probe_model_answer_correct","[0.9395804466407683, 0.06041955335923155]"
"0","344"," is","probe_model_answer_correct","[0.8787673807520748, 0.12123261924792529]"
"0","260"," a","probe_model_answer_correct","[0.773546378023059, 0.22645362197694108]"
"0","3607"," learning","probe_model_answer_correct","[0.40992399519717854, 0.5900760048028214]"
"0","22042"," disability","probe_model_answer_correct","[0.7453489134614973, 0.2546510865385027]"
"0","14",",","probe_model_answer_correct","[0.8127860222862007, 0.18721397771379936]"
"0","1748"," right","probe_model_answer_correct","[0.6701581129458395, 0.3298418870541605]"
"0","33","?","probe_model_answer_correct","[0.86813097788995, 0.13186902211005003]"
"0","983"," It","probe_model_answer_correct","[0.5633906226708663, 0.4366093773291337]"
"0","734","'s","probe_model_answer_correct","[0.332201525560575, 0.6677984744394251]"
"0","943"," about","probe_model_answer_correct","[0.9214938779310731, 0.0785061220689269]"
"0","18330"," difficulties","probe_model_answer_correct","[0.7648499039300125, 0.2351500960699876]"
"0","295"," in","probe_model_answer_correct","[0.16530525453898706, 0.834694745461013]"
"0","5081"," reading","probe_model_answer_correct","[0.580163151442961, 0.4198368485570389]"
"0","305"," and","probe_model_answer_correct","[0.3783267728373474, 0.6216732271626526]"
"0","4985"," writing","probe_model_answer_correct","[0.16187137823496478, 0.8381286217650352]"
"0","14",",","probe_model_answer_correct","[0.6848212728372283, 0.3151787271627718]"
"0","554"," not","probe_model_answer_correct","[0.8844887584985518, 0.11551124150144824]"
"0","3146"," really","probe_model_answer_correct","[0.7402513056922362, 0.25974869430776376]"
"0","4524"," related","probe_model_answer_correct","[0.08902708035356334, 0.9109729196464368]"
"0","304"," to","probe_model_answer_correct","[0.9366203128146832, 0.06337968718531689]"
"0","7053"," sleep","probe_model_answer_correct","[0.9570354520002359, 0.042964547999764256]"
"0","16",".","probe_model_answer_correct","[0.4262611210927139, 0.5737388789072861]"
"0","3016"," So","probe_model_answer_correct","[0.3708973839661615, 0.6291026160338385]"
"0","334"," A","probe_model_answer_correct","[0.8679237965763174, 0.13207620342368265]"
"0","344"," is","probe_model_answer_correct","[0.23815732622244304, 0.761842673777557]"
"0","6162"," probably","probe_model_answer_correct","[0.6003582611743726, 0.3996417388256273]"
"0","554"," not","probe_model_answer_correct","[0.24821078276052388, 0.7517892172394761]"
"0","270"," the","probe_model_answer_correct","[0.13456883626498448, 0.8654311637350155]"
"0","3287"," answer","probe_model_answer_correct","[0.6495253657455108, 0.35047463425448927]"
"0","339",".\n\n","probe_model_answer_correct","[0.11904401626681894, 0.8809559837331811]"
"0","11534","Next","probe_model_answer_correct","[0.18921582632293893, 0.810784173677061]"
"0","14",",","probe_model_answer_correct","[0.01825249900486616, 0.9817475009951339]"
"0","104610"," Epile","probe_model_answer_correct","[0.8580337642454159, 0.1419662357545841]"
"0","32987","psy","probe_model_answer_correct","[0.8372201853548328, 0.1627798146451671]"
"0","16",".","probe_model_answer_correct","[0.6604205019563943, 0.33957949804360577]"
"0","342"," I","probe_model_answer_correct","[0.23779524357088153, 0.7622047564291186]"
"0","6360"," remember","probe_model_answer_correct","[0.2803809789008366, 0.7196190210991634]"
"0","396"," that","probe_model_answer_correct","[0.7243510039441363, 0.27564899605586374]"
"0","436"," it","probe_model_answer_correct","[0.5883913205067354, 0.4116086794932647]"
"0","734","'s","probe_model_answer_correct","[0.5055679941160863, 0.4944320058839136]"
"0","260"," a","probe_model_answer_correct","[0.836018605678194, 0.16398139432180597]"
"0","5664"," condition","probe_model_answer_correct","[0.6264405112273121, 0.37355948877268774]"
"0","1479"," where","probe_model_answer_correct","[0.5076936811811711, 0.49230631881882886]"
"0","270"," the","probe_model_answer_correct","[0.4910191155473745, 0.5089808844526253]"
"0","6773"," brain","probe_model_answer_correct","[0.565506950098383, 0.43449304990161686]"
"0","734","'s","probe_model_answer_correct","[0.5573610913609756, 0.4426389086390244]"
"0","12587"," magnetic","probe_model_answer_correct","[0.7481559646326112, 0.2518440353673887]"
"0","2994"," field","probe_model_answer_correct","[0.2917309894176495, 0.7082690105823506]"
"0","19310"," disrupt","probe_model_answer_correct","[0.13648453755309714, 0.8635154624469027]"
"0","85","s","probe_model_answer_correct","[0.5502408219080671, 0.4497591780919328]"
"0","270"," the","probe_model_answer_correct","[0.007043602695296559, 0.9929563973047034]"
"0","18001"," nervous","probe_model_answer_correct","[0.7949650406522661, 0.2050349593477338]"
"0","1487"," system","probe_model_answer_correct","[0.817591346105317, 0.18240865389468297]"
"0","14",",","probe_model_answer_correct","[0.975130822823282, 0.024869177176718004]"
"0","6646"," leading","probe_model_answer_correct","[0.29931275207024116, 0.7006872479297587]"
"0","304"," to","probe_model_answer_correct","[0.04981190277072105, 0.950188097229279]"
"0","49634"," seizures","probe_model_answer_correct","[0.11415613234610178, 0.8858438676538981]"
"0","305"," and","probe_model_answer_correct","[0.8664814598385615, 0.13351854016143835]"
"0","7097"," sometimes","probe_model_answer_correct","[0.8107662728821741, 0.18923372711782582]"
"0","17628"," mood","probe_model_answer_correct","[0.3977696076179299, 0.60223039238207]"
"0","4123"," changes","probe_model_answer_correct","[0.21695809969563196, 0.783041900304368]"
"0","16",".","probe_model_answer_correct","[0.23163997571802067, 0.7683600242819794]"
"0","2275"," But","probe_model_answer_correct","[0.8308190232791938, 0.1691809767208062]"
"0","342"," I","probe_model_answer_correct","[0.42442423066468654, 0.5755757693353134]"
"0","2090"," don","probe_model_answer_correct","[0.12380076466713023, 0.8761992353328698]"
"0","1664","'t","probe_model_answer_correct","[0.3701428024557766, 0.6298571975442233]"
"0","2118"," think","probe_model_answer_correct","[0.010302768099629598, 0.9896972319003704]"
"0","436"," it","probe_model_answer_correct","[0.30572058847956046, 0.6942794115204396]"
"0","734","'s","probe_model_answer_correct","[0.9264896242832009, 0.07351037571679903]"
"0","6578"," directly","probe_model_answer_correct","[0.47948793968924763, 0.5205120603107523]"
"0","4524"," related","probe_model_answer_correct","[0.6227288881310619, 0.37727111186893814]"
"0","304"," to","probe_model_answer_correct","[0.5154754171413389, 0.4845245828586611]"
"0","17377"," falling","probe_model_answer_correct","[0.09847681894095221, 0.9015231810590478]"
"0","32655"," asleep","probe_model_answer_correct","[0.10061903534111272, 0.8993809646588874]"
"0","16",".","probe_model_answer_correct","[0.1303149132720495, 0.8696850867279505]"
"0","17519"," Maybe","probe_model_answer_correct","[0.23005911050388328, 0.7699408894961168]"
"0","436"," it","probe_model_answer_correct","[0.4518512560208536, 0.5481487439791464]"
"0","734","'s","probe_model_answer_correct","[0.30823522335734654, 0.6917647766426537]"
"0","850"," more","probe_model_answer_correct","[0.04387023057614194, 0.9561297694238581]"
"0","943"," about","probe_model_answer_correct","[0.08101604752832145, 0.9189839524716785]"
"0","7053"," sleep","probe_model_answer_correct","[0.5686055044966855, 0.4313944955033147]"
"0","49424"," disturbances","probe_model_answer_correct","[0.5380475658962192, 0.46195243410378073]"
"0","14",",","probe_model_answer_correct","[0.5630345900299695, 0.4369654099700304]"
"0","790"," but","probe_model_answer_correct","[0.36300759642954766, 0.6369924035704522]"
"0","554"," not","probe_model_answer_correct","[0.39603584753343574, 0.6039641524665643]"
"0","270"," the","probe_model_answer_correct","[0.05950405125338306, 0.9404959487466169]"
"0","3549"," specific","probe_model_answer_correct","[0.07538517390738553, 0.9246148260926145]"
"0","29193"," episodes","probe_model_answer_correct","[0.587413375969942, 0.4125866240300579]"
"0","9475"," mentioned","probe_model_answer_correct","[0.9569918036000616, 0.043008196399938435]"
"0","2155"," here","probe_model_answer_correct","[0.718234836349154, 0.28176516365084603]"
"0","339",".\n\n","probe_model_answer_correct","[0.7490299070140153, 0.2509700929859846]"
"0","71571","Hydro","probe_model_answer_correct","[0.6675047804990096, 0.3324952195009904]"
"0","104159","cephalus","probe_model_answer_correct","[0.8507490798032534, 0.14925092019674652]"
"0","14",",","probe_model_answer_correct","[0.7867854522098076, 0.2132145477901924]"
"0","396"," that","probe_model_answer_correct","[0.5097275548074686, 0.4902724451925315]"
"0","734","'s","probe_model_answer_correct","[0.6169971828585922, 0.38300281714140794]"
